candidate_name,similarity_score,skill_match_score,final_score,recommendation,experience_years,matched_skills,missing_skills,all_extracted_skills,explanation,category
Candidate_59962788,4.04,20.0,12.02,Low Match,1.0,['sql'],"['fastapi', 'git', 'machine learning', 'python']",['sql'],Candidate_59962788 scored 12.02% based on resume-job similarity and must-have skill matching.,HR
Candidate_24184357,6.64,0.0,3.32,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_24184357 scored 3.32% based on resume-job similarity and must-have skill matching.,HR
Candidate_11480899,6.33,0.0,3.16,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_11480899 scored 3.16% based on resume-job similarity and must-have skill matching.,HR
Candidate_29149998,6.16,0.0,3.08,Low Match,3.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_29149998 scored 3.08% based on resume-job similarity and must-have skill matching.,HR
Candidate_41523474,5.67,0.0,2.84,Low Match,0.17,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_41523474 scored 2.84% based on resume-job similarity and must-have skill matching.,HR
Candidate_11847784,4.96,0.0,2.48,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_11847784 scored 2.48% based on resume-job similarity and must-have skill matching.,HR
Candidate_18827609,4.6,0.0,2.3,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_18827609 scored 2.3% based on resume-job similarity and must-have skill matching.,HR
Candidate_26780935,4.43,0.0,2.22,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_26780935 scored 2.22% based on resume-job similarity and must-have skill matching.,HR
Candidate_23155093,4.38,0.0,2.19,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_23155093 scored 2.19% based on resume-job similarity and must-have skill matching.,HR
Candidate_25676643,4.39,0.0,2.19,Low Match,9.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_25676643 scored 2.19% based on resume-job similarity and must-have skill matching.,HR
Candidate_32977530,4.15,0.0,2.08,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_32977530 scored 2.08% based on resume-job similarity and must-have skill matching.,HR
Candidate_26202430,4.0,0.0,2.0,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_26202430 scored 2.0% based on resume-job similarity and must-have skill matching.,HR
Candidate_19717385,3.88,0.0,1.94,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_19717385 scored 1.94% based on resume-job similarity and must-have skill matching.,HR
Candidate_13879043,3.51,0.0,1.76,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_13879043 scored 1.76% based on resume-job similarity and must-have skill matching.,HR
Candidate_25824789,3.42,0.0,1.71,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_25824789 scored 1.71% based on resume-job similarity and must-have skill matching.,HR
Candidate_33176873,3.41,0.0,1.7,Low Match,20.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_33176873 scored 1.7% based on resume-job similarity and must-have skill matching.,HR
Candidate_32896934,3.25,0.0,1.62,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_32896934 scored 1.62% based on resume-job similarity and must-have skill matching.,HR
Candidate_18316239,3.15,0.0,1.58,Low Match,9.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_18316239 scored 1.58% based on resume-job similarity and must-have skill matching.,HR
Candidate_57667857,3.15,0.0,1.58,Low Match,25.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_57667857 scored 1.58% based on resume-job similarity and must-have skill matching.,HR
Candidate_34554248,3.17,0.0,1.58,Low Match,30.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_34554248 scored 1.58% based on resume-job similarity and must-have skill matching.,HR
Candidate_16852973,3.1,0.0,1.55,Low Match,0.17,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_16852973 scored 1.55% based on resume-job similarity and must-have skill matching.,HR
Candidate_32947778,2.98,0.0,1.49,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_32947778 scored 1.49% based on resume-job similarity and must-have skill matching.,HR
Candidate_18334783,2.96,0.0,1.48,Low Match,20.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_18334783 scored 1.48% based on resume-job similarity and must-have skill matching.,HR
Candidate_17855844,2.96,0.0,1.48,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_17855844 scored 1.48% based on resume-job similarity and must-have skill matching.,HR
Candidate_30163002,2.88,0.0,1.44,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_30163002 scored 1.44% based on resume-job similarity and must-have skill matching.,HR
Candidate_51769822,2.85,0.0,1.42,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_51769822 scored 1.42% based on resume-job similarity and must-have skill matching.,HR
Candidate_17812897,2.76,0.0,1.38,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_17812897 scored 1.38% based on resume-job similarity and must-have skill matching.,HR
Candidate_86184722,2.68,0.0,1.34,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_86184722 scored 1.34% based on resume-job similarity and must-have skill matching.,HR
Candidate_18155310,2.48,0.0,1.24,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_18155310 scored 1.24% based on resume-job similarity and must-have skill matching.,HR
Candidate_29297973,2.43,0.0,1.22,Low Match,3.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_29297973 scored 1.22% based on resume-job similarity and must-have skill matching.,HR
Candidate_73077810,2.4,0.0,1.2,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_73077810 scored 1.2% based on resume-job similarity and must-have skill matching.,HR
Candidate_27018550,2.37,0.0,1.18,Low Match,20.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_27018550 scored 1.18% based on resume-job similarity and must-have skill matching.,HR
Candidate_15375009,2.34,0.0,1.17,Low Match,0.75,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_15375009 scored 1.17% based on resume-job similarity and must-have skill matching.,HR
Candidate_19867922,2.31,0.0,1.16,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_19867922 scored 1.16% based on resume-job similarity and must-have skill matching.,HR
Candidate_11763983,2.22,0.0,1.11,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_11763983 scored 1.11% based on resume-job similarity and must-have skill matching.,HR
Candidate_87968870,2.14,0.0,1.07,Low Match,11.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_87968870 scored 1.07% based on resume-job similarity and must-have skill matching.,HR
Candidate_46258701,2.13,0.0,1.06,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_46258701 scored 1.06% based on resume-job similarity and must-have skill matching.,HR
Candidate_17422560,2.06,0.0,1.03,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_17422560 scored 1.03% based on resume-job similarity and must-have skill matching.,HR
Candidate_49937469,2.03,0.0,1.01,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_49937469 scored 1.01% based on resume-job similarity and must-have skill matching.,HR
Candidate_12786012,1.99,0.0,1.0,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_12786012 scored 1.0% based on resume-job similarity and must-have skill matching.,HR
Candidate_91930382,1.71,0.0,0.86,Low Match,0.5,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_91930382 scored 0.86% based on resume-job similarity and must-have skill matching.,HR
Candidate_23914451,1.65,0.0,0.82,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_23914451 scored 0.82% based on resume-job similarity and must-have skill matching.,HR
Candidate_93002334,1.62,0.0,0.81,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_93002334 scored 0.81% based on resume-job similarity and must-have skill matching.,HR
Candidate_27490876,1.61,0.0,0.8,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_27490876 scored 0.8% based on resume-job similarity and must-have skill matching.,HR
Candidate_19616406,1.53,0.0,0.76,Low Match,10.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_19616406 scored 0.76% based on resume-job similarity and must-have skill matching.,HR
Candidate_14225422,1.31,0.0,0.66,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_14225422 scored 0.66% based on resume-job similarity and must-have skill matching.,HR
Candidate_11592605,1.24,0.0,0.62,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_11592605 scored 0.62% based on resume-job similarity and must-have skill matching.,HR
Candidate_22323967,1.13,0.0,0.56,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_22323967 scored 0.56% based on resume-job similarity and must-have skill matching.,HR
Candidate_21265194,1.09,0.0,0.55,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_21265194 scored 0.55% based on resume-job similarity and must-have skill matching.,HR
Candidate_28419173,1.08,0.0,0.54,Low Match,0.0,[],"['fastapi', 'git', 'machine learning', 'python', 'sql']",[],Candidate_28419173 scored 0.54% based on resume-job similarity and must-have skill matching.,HR
